,Code,2012,2013,2014,2015,2016
0,01,6.85,7.2,7.15,7.375,7.3
1,02,13.75,14.275,14.0,13.95,13.725
2,03,9.95,10.35,10.475,10.75,10.525
3,04,11.025,11.6,11.7,11.825,11.675
4,05,8.5,9.15,9.15,9.4,9.2
5,06,9.45,10.225,10.5,10.725,10.55
6,07,10.075,10.7,10.55,10.8,10.775
7,08,11.75,12.45,12.225,12.475,11.975
8,09,11.625,12.35,12.15,12.35,12.05
9,10,10.75,11.75,12.125,12.75,12.625
10,11,12.9,13.775,13.95,14.075,13.4
11,12,6.775,7.5,7.35,7.45,7.35
12,13,11.75,12.075,11.9,11.95,11.675
13,14,9.325,9.725,9.75,9.85,9.425
14,15,6.475,6.8,6.475,6.5,6.25
15,16,10.1,10.35,10.15,10.125,9.775
16,17,10.05,10.675,10.65,10.925,10.45
17,18,9.75,10.4,10.2,10.55,10.425
18,19,7.575,8.15,8.025,8.275,8.225
19,21,7.925,8.525,8.4,8.625,8.325
20,22,8.25,8.95,9.05,9.175,9.0
21,23,9.525,9.925,9.575,9.675,9.275
22,24,10.45,10.75,10.775,10.875,10.475
23,25,8.875,9.4,9.375,9.475,9.15
24,26,10.425,10.95,10.925,11.35,11.075
25,27,10.175,10.75,10.55,10.475,10.375
26,28,9.025,9.525,9.6,9.625,9.45
27,29,8.5,9.075,9.05,9.2,8.95
28,30,12.8,13.7,13.9,14.1,13.55
29,31,9.65,10.2,10.375,10.525,10.025
30,32,7.3,7.925,7.95,8.225,7.975
31,33,9.575,9.925,10.0,10.25,9.95
32,34,13.675,14.45,14.475,14.3,13.9
33,35,7.65,8.125,8.0,8.1,7.8
34,36,8.75,9.3,9.45,9.6,9.7
35,37,8.325,8.975,9.075,9.25,9.075
36,38,8.0,8.275,8.25,8.55,8.4
37,39,7.05,7.575,7.575,7.725,7.5
38,40,9.0,9.575,9.675,9.85,9.675
39,41,8.275,8.975,8.9,8.875,8.6
40,42,9.5,10.05,10.05,10.2,9.95
41,43,7.875,8.45,8.375,8.4,8.25
42,44,7.925,8.475,8.625,8.775,8.325
43,45,9.075,9.675,9.85,10.0,9.775
44,46,9.2,9.5,9.325,9.25,9.2
45,47,9.775,10.1,10.025,10.35,10.175
46,48,5.625,6.075,5.95,6.375,6.3
47,49,8.575,9.2,9.3,9.55,9.225
48,50,8.025,8.45,8.4,8.4,8.025
49,51,9.125,9.95,9.9,9.9,9.45
50,52,9.025,9.625,9.5,9.625,9.25
51,53,6.3,6.775,6.725,6.975,6.65
52,54,9.5,10.025,9.9,10.125,9.85
53,55,10.125,10.475,10.15,10.125,9.75
54,56,8.525,9.25,9.35,9.475,9.125
55,57,9.8,10.675,10.65,10.55,10.15
56,58,9.5,9.725,9.425,9.575,9.175
57,59,12.7,13.2,12.925,12.95,12.5
58,60,9.65,10.275,10.075,10.175,9.95
59,61,9.025,9.35,9.35,9.525,9.35
60,62,12.825,13.375,13.075,13.0,12.425
61,63,8.35,8.625,8.65,8.9,8.7
62,64,8.2,8.6,8.6,8.675,8.375
63,65,10.8,11.35,11.35,11.55,11.275
64,66,13.925,14.825,15.1,15.55,15.4
65,67,8.225,8.75,8.75,8.9,8.675
66,68,9.3,9.925,9.8,9.925,9.725
67,69,8.75,9.175,9.15,9.25,8.875
68,70,9.425,10.175,10.175,9.85,9.3
69,71,8.9,9.25,9.1,9.3,9.0
70,72,8.975,9.775,9.8,10.025,9.675
71,73,7.4,7.7,7.9,8.0,7.7
72,74,7.125,7.4,7.45,7.6,7.325
73,75,8.0,8.275,8.225,8.15,7.825
74,76,10.75,11.35,11.175,11.25,11.25
75,77,7.525,8.025,8.075,8.175,7.975
76,78,6.8,7.225,7.35,7.425,7.4
77,79,7.3,7.7,7.7,7.975,7.8
78,80,11.525,12.075,11.775,11.925,11.85
79,81,10.55,10.9,10.9,10.975,10.6
80,82,10.475,11.225,11.225,11.7,11.625
81,83,10.625,11.1,11.225,11.4,11.05
82,84,11.975,12.575,12.7,13.0,12.825
83,85,7.75,8.4,8.475,8.525,7.95
84,86,8.05,8.275,8.3,8.4,8.25
85,87,9.25,9.725,9.675,9.9,9.6
86,88,11.075,11.775,11.775,11.8,11.075
87,89,9.5,9.975,9.775,9.9,9.6
88,90,10.65,11.625,11.625,11.525,10.85
89,91,7.0,7.525,7.6,7.775,7.7
90,92,7.425,7.75,7.8,7.9,7.575
91,93,12.05,12.8,12.975,13.1,12.75
92,94,8.2,8.725,8.875,9.0,8.825
93,95,9.45,10.0,10.175,10.35,10.1
94,2A,9.025,9.6,9.775,10.075,9.825
95,2B,10.05,10.9,11.475,11.9,11.2
