,Dep,fuites,annee
0,01,6.038522265866885,2012
1,01,5.165326031938317,2013
2,01,5.377208462554127,2014
3,01,4.625931927040515,2015
4,01,4.120046935967211,2016
5,02,4.4053519943130155,2012
6,02,3.539278414991762,2013
7,02,3.261632337694011,2014
8,02,3.174177885117407,2015
9,02,3.155470955418144,2016
10,03,2.150933668713663,2012
11,03,2.133097888302575,2013
12,03,1.8492925410196435,2014
13,03,2.0615176279805185,2015
14,03,2.1571763324994238,2016
15,04,5.024700278124192,2012
16,04,5.858218475661252,2013
17,04,5.690876207051552,2014
18,04,5.332342562347563,2015
19,04,4.707879189563423,2016
20,05,1.9787671232876711,2012
21,05,6.7560292469558725,2013
22,05,9.234486524505895,2014
23,05,5.634074454896728,2015
24,05,6.843675548184854,2016
25,06,12.793957413730158,2012
26,06,10.467592809091128,2013
27,06,13.370170342748622,2014
28,06,10.074780391992178,2015
29,06,12.365204012335873,2016
30,07,4.684837246675784,2012
31,07,3.7085822764219416,2013
32,07,6.545475374560932,2014
33,07,4.056922151001565,2015
34,07,3.6551724137931028,2016
35,08,4.252119175326988,2012
36,08,4.137805468414806,2013
37,08,3.3093706150312885,2014
38,08,3.695611693740241,2015
39,08,3.221900323662402,2016
40,09,5.657547420453722,2012
41,09,5.385773223918176,2013
42,09,8.854027242254558,2014
43,09,3.882341747547227,2015
44,09,4.0444625643255785,2016
45,10,4.124477335261853,2012
46,10,3.119071947512405,2013
47,10,3.224068144402358,2014
48,10,2.771665687894811,2015
49,10,2.5201156065116677,2016
50,11,4.023,2012
51,11,5.123918731623571,2013
52,11,5.481115469488609,2014
53,11,4.854877586966806,2015
54,11,4.930020394534986,2016
55,12,3.3113705018552597,2012
56,12,3.1425932043837044,2013
57,12,4.446776589535241,2014
58,12,3.6108749932094772,2015
59,12,3.7682642554850196,2016
60,13,9.977894256899045,2012
61,13,8.616692197951464,2013
62,13,8.889888719083148,2014
63,13,9.111137104274725,2015
64,13,8.896360615654682,2016
65,14,2.397789397357245,2012
66,14,2.424848710386832,2013
67,14,2.636626250042403,2014
68,14,1.9544562166530315,2015
69,14,2.1257165880050644,2016
70,15,2.6615236904784334,2012
71,15,2.5832446843885504,2013
72,15,2.665446386552824,2014
73,15,2.262054024027,2015
74,15,2.546668993578314,2016
75,16,1.7623363673438104,2012
76,16,1.527805270540484,2013
77,16,1.5520412051527999,2014
78,16,1.7492258766257687,2015
79,16,2.6,2016
80,17,3.0381265894311356,2012
81,17,3.19816984635552,2013
82,17,2.868035685694095,2014
83,17,3.380531696985078,2015
84,17,2.5759999999999996,2016
85,18,2.951566476779676,2012
86,18,2.0816542324745755,2013
87,18,2.588555651084384,2014
88,18,2.3417219936253244,2015
89,18,1.9524882838255346,2016
90,19,1.8871300371542317,2012
91,19,1.8417559129799923,2013
92,19,1.446324528499944,2014
93,19,1.4895645555912258,2015
94,19,1.4237071242988122,2016
95,21,3.790458698437631,2012
96,21,5.9270095552876585,2013
97,21,5.843155763923463,2014
98,21,3.75337522001836,2015
99,21,3.555093812268194,2016
100,22,1.3057313633039591,2012
101,22,1.3961112739786592,2013
102,22,1.3645224380841519,2014
103,22,1.3653653677816315,2015
104,22,1.2110690948306055,2016
105,23,1.423881058883772,2012
106,23,1.4476263523124289,2013
107,23,0.9751788313247787,2014
108,23,1.1473826995253291,2015
109,23,0.9761904761904764,2016
110,24,1.8995043825539324,2012
111,24,1.721114155813884,2013
112,24,1.59184528001125,2014
113,24,1.5345035180254505,2015
114,24,1.7408066094767003,2016
115,25,3.4589910328320377,2012
116,25,3.730567249697031,2013
117,25,3.674636460322322,2014
118,25,3.7395385897386184,2015
119,25,3.1752538327911974,2016
120,26,5.178966378076337,2012
121,26,3.025994620132524,2013
122,26,4.780018125356322,2014
123,26,4.42101282994092,2015
124,26,4.1479265466105035,2016
125,27,3.3583930949750354,2012
126,27,3.747865185012977,2013
127,27,3.875068577360814,2014
128,27,3.715992471290272,2015
129,27,3.730769230769231,2016
130,28,3.072286198787815,2012
131,28,2.789030367462722,2013
132,28,2.74147101138023,2014
133,28,2.516364008569613,2015
134,28,2.6682956000972,2016
135,29,1.3563218171448261,2012
136,29,1.6750517230492672,2013
137,29,1.5752690872991693,2014
138,29,1.525824587312671,2015
139,29,1.506323120808857,2016
140,2A,16.196565047000583,2012
141,2A,8.056931284384993,2013
142,2A,9.20011213658034,2014
143,2A,7.2972676742977285,2015
144,2A,5.9,2016
145,2B,11.101321172236592,2012
146,2B,8.129607558297648,2013
147,2B,6.162831786639152,2014
148,2B,5.587904838854501,2015
149,2B,6.65582476281738,2016
150,30,7.302161927719698,2012
151,30,7.005668100102651,2013
152,30,5.489496656199035,2014
153,30,5.713795037751639,2015
154,30,5.052497944579877,2016
155,31,3.7857323289513283,2012
156,31,2.7874886935755687,2013
157,31,4.334301032111666,2014
158,31,4.636705673964742,2015
159,31,4.989132471587011,2016
160,32,2.059874458662864,2012
161,32,1.506812144717628,2013
162,32,1.3860623416016584,2014
163,32,1.4427851771703732,2015
164,32,1.2174567719966887,2016
165,33,2.335482870301229,2012
166,33,2.2744872546557358,2013
167,33,2.2989085151641273,2014
168,33,2.416301808365536,2015
169,33,2.2891036124573017,2016
170,34,10.807711892586315,2012
171,34,9.84630349295703,2013
172,34,7.382088762208398,2014
173,34,8.046022884817896,2015
174,34,7.05883118769329,2016
175,35,1.4332990110915282,2012
176,35,1.2075266079661335,2013
177,35,1.262333383402893,2014
178,35,4.639805196394002,2015
179,35,4.735534594698139,2016
180,36,1.7313055075695518,2012
181,36,1.796877934339617,2013
182,36,1.4889095616983665,2014
183,36,1.5844442378567438,2015
184,36,1.575415413743179,2016
185,37,1.4596328780260603,2012
186,37,1.5561748154459583,2013
187,37,1.4843083798612728,2014
188,37,1.5825762343774021,2015
189,37,1.574030068648464,2016
190,38,7.767739979509047,2012
191,38,6.827144509716807,2013
192,38,5.823837420363039,2014
193,38,5.340400735346674,2015
194,38,5.613537509199711,2016
195,39,4.900539895275429,2012
196,39,4.66187966328245,2013
197,39,3.79676482529327,2014
198,39,3.49761951699212,2015
199,39,3.134285714285713,2016
200,40,3.594941016620941,2012
201,40,2.9930570924210795,2013
202,40,2.189334034935085,2014
203,40,2.5041905752953086,2015
204,40,2.413636363636364,2016
205,41,1.332046977636418,2012
206,41,1.5724544374002354,2013
207,41,1.3627893066143624,2014
208,41,1.3520245442995091,2015
209,41,1.3235088027758728,2016
210,42,2.3306416306458275,2012
211,42,2.5073271335954845,2013
212,42,2.386887204413134,2014
213,42,2.123260524261922,2015
214,42,2.0443582868018613,2016
215,43,2.3072916878264995,2012
216,43,2.260134527655171,2013
217,43,2.1743687748309894,2014
218,43,2.421676420874146,2015
219,43,2.0086901147723073,2016
220,44,2.995291060046176,2012
221,44,3.660848064190332,2013
222,44,3.0048974167452256,2014
223,44,3.7128718823453517,2015
224,44,2.825,2016
225,45,2.9854365014445476,2012
226,45,2.5132791285342533,2013
227,45,2.054912668975766,2014
228,45,2.2047333943854235,2015
229,45,2.0883381384179316,2016
230,46,3.038043181447041,2012
231,46,2.920964277769467,2013
232,46,2.597410708475651,2014
233,46,2.8721109075171922,2015
234,46,2.7440597768687076,2016
235,47,2.352392913033666,2012
236,47,1.489294436315524,2013
237,47,1.4179474982527962,2014
238,47,1.725579857468151,2015
239,47,2.8159658366147187,2016
240,48,4.293429228945369,2012
241,48,3.982779501343344,2013
242,48,2.7300521207635433,2014
243,48,2.5011146045250596,2015
244,48,2.970202597689954,2016
245,49,2.0425070658201085,2012
246,49,2.1931418282195154,2013
247,49,1.4905037258994915,2014
248,49,2.087075788248526,2015
249,49,1.2442634489755744,2016
250,50,1.3171365264225996,2012
251,50,1.3181295341597503,2013
252,50,1.3688089049305296,2014
253,50,1.5062399033239515,2015
254,50,1.901459879411608,2016
255,51,6.863426190141442,2012
256,51,6.665969359035628,2013
257,51,5.162064915259966,2014
258,51,4.253474222689049,2015
259,51,3.455945614393785,2016
260,52,4.602365831566374,2012
261,52,3.653359105428242,2013
262,52,4.176904060622158,2014
263,52,2.9682102184701216,2015
264,52,3.473685451503628,2016
265,53,1.1227165718268874,2012
266,53,0.9006826973108789,2013
267,53,0.8250075025630298,2014
268,53,1.048655401129964,2015
269,53,0.950666050696983,2016
270,54,5.540465013655497,2012
271,54,6.1418238780487355,2013
272,54,5.461992242896307,2014
273,54,5.004798748090422,2015
274,54,4.2721020758062025,2016
275,55,4.6777093344733105,2012
276,55,4.0884006442162315,2013
277,55,4.238482564075981,2014
278,55,4.123612152094622,2015
279,55,3.361082035827473,2016
280,56,3.6630653986171655,2012
281,56,1.0556177418996004,2013
282,56,1.097835940290841,2014
283,56,0.9798785516977954,2015
284,56,1.370909090909091,2016
285,57,4.921827710302135,2012
286,57,4.745379218011019,2013
287,57,4.250321264254469,2014
288,57,4.067900858268123,2015
289,57,3.429124770544594,2016
290,58,2.257887644525364,2012
291,58,1.8170067158367573,2013
292,58,1.9258820264023524,2014
293,58,2.53148983812031,2015
294,58,1.827085525376619,2016
295,59,6.608280001284918,2012
296,59,6.891620615745751,2013
297,59,5.939389048475694,2014
298,59,6.069643644268745,2015
299,59,6.195394928592249,2016
300,60,5.285751758391021,2012
301,60,4.55674214349212,2013
302,60,3.1394666252116354,2014
303,60,4.605042817069157,2015
304,60,2.599999999999999,2016
305,61,1.1404321464481582,2012
306,61,1.2810436835830825,2013
307,61,1.1182149701189377,2014
308,61,1.2532644970958293,2015
309,61,1.164285714285714,2016
310,62,4.578942223648985,2012
311,62,4.782459627954768,2013
312,62,4.271119702262854,2014
313,62,4.285964911223985,2015
314,62,3.9708362243060287,2016
315,63,4.120489721250034,2012
316,63,4.425536185671704,2013
317,63,4.02536226052145,2014
318,63,4.086878894974199,2015
319,63,4.108099053929031,2016
320,64,2.9502431306058883,2012
321,64,3.774190909845725,2013
322,64,2.1916567926302473,2014
323,64,2.145775056930066,2015
324,64,2.9084244688478806,2016
325,65,6.05528054669922,2012
326,65,4.691412289190516,2013
327,65,7.589677161629455,2014
328,65,11.338325123501848,2015
329,65,8.636363636363635,2016
330,66,9.759063855960228,2012
331,66,8.971742765206628,2013
332,66,9.60502897798493,2014
333,66,8.087595037920513,2015
334,66,6.055206607083018,2016
335,67,5.799194010627318,2012
336,67,5.800232231806087,2013
337,67,4.017599437093587,2014
338,67,4.462059521700988,2015
339,67,4.442584541450453,2016
340,68,4.70901644582305,2012
341,68,5.57826000715494,2013
342,68,4.538422035165447,2014
343,68,4.698365765141015,2015
344,68,3.7588560631840497,2016
345,69,6.536165248995686,2012
346,69,6.54009363749732,2013
347,69,5.554459320619988,2014
348,69,5.893938989763821,2015
349,69,4.1144537170755076,2016
350,70,4.6482052304664725,2012
351,70,4.638824565112559,2013
352,70,4.07782890181287,2014
353,70,4.481329872844556,2015
354,70,3.539099274510537,2016
355,71,2.8310824487013657,2012
356,71,2.8508892264593637,2013
357,71,2.447227685028765,2014
358,71,2.74278059104808,2015
359,71,2.464912280701754,2016
360,72,1.370696361244729,2012
361,72,1.3903869671085656,2013
362,72,1.5440865057805526,2014
363,72,1.5101976593872324,2015
364,72,1.4552833647460077,2016
365,73,7.10935328703533,2012
366,73,5.918107390340941,2013
367,73,6.60630803601231,2014
368,73,6.234011560692271,2015
369,73,8.430899324676457,2016
370,74,6.868893599485202,2012
371,74,5.872889285279505,2013
372,74,6.0651566457528885,2014
373,74,5.970593838319956,2015
374,74,5.693741760176145,2016
375,75,10.288219828782895,2012
376,75,15.665170495474626,2013
377,75,14.134697885827725,2014
378,75,19.092374090714692,2015
379,75,13.566666666666665,2016
380,76,4.94484777713458,2012
381,76,3.273163736970031,2013
382,76,2.96284359677168,2014
383,76,3.516333583727177,2015
384,76,3.619801019425411,2016
385,77,3.839432705499195,2012
386,77,3.836213868658357,2013
387,77,4.078954888602856,2014
388,77,5.2171156382251755,2015
389,77,3.953008339086516,2016
390,79,2.3969235858314133,2012
391,79,1.9745200341965166,2013
392,79,2.1683934351024536,2014
393,79,2.584658720899757,2015
394,79,1.8,2016
395,80,4.174130857394828,2012
396,80,3.886845679041977,2013
397,80,3.450689677902182,2014
398,80,3.849375902999375,2015
399,80,3.0184213701437357,2016
400,81,3.340898265421568,2012
401,81,2.7429898427159456,2013
402,81,3.1178282859786854,2014
403,81,2.1481809876388835,2015
404,81,2.740066769314009,2016
405,82,2.059495151352806,2012
406,82,1.7813176076536161,2013
407,82,1.4442996137993651,2014
408,82,2.0509388411439913,2015
409,82,1.7114285714285715,2016
410,83,7.53559365224775,2012
411,83,6.837500834860753,2013
412,83,6.267367522773507,2014
413,83,6.134430424537059,2015
414,83,5.659497405562472,2016
415,84,6.661931462328785,2012
416,84,7.982147170102243,2013
417,84,7.727182523867872,2014
418,84,6.071541630606071,2015
419,84,5.228139269406393,2016
420,85,2.2515645064576573,2012
421,85,2.15081210543605,2013
422,85,2.425188298829245,2014
423,85,1.117451324604124,2015
424,85,0.9,2016
425,86,3.1422844266566217,2012
426,86,2.069879434224607,2013
427,86,1.7682652605679652,2014
428,86,2.8755380622867466,2015
429,86,2.86,2016
430,87,0.9368901425031185,2012
431,87,1.2634845609653942,2013
432,87,0.967218828035669,2014
433,87,0.969416955304292,2015
434,87,0.9530730181503501,2016
435,88,4.715305393824611,2012
436,88,3.9150920426220908,2013
437,88,3.585704739830478,2014
438,88,3.2692223926309247,2015
439,88,3.2975954365994085,2016
440,89,5.793286167777849,2012
441,89,5.146252744413578,2013
442,89,5.054344013000038,2014
443,89,4.773589659841578,2015
444,89,4.091027928055334,2016
445,90,12.737941667087904,2012
446,90,9.04249719290366,2013
447,90,5.510166180103301,2014
448,90,4.793191336224981,2015
449,90,4.725,2016
450,91,6.890790821191989,2012
451,91,7.578844129590011,2013
452,91,6.755501109126332,2014
453,91,6.193696249052839,2015
454,91,,2016
455,95,4.406636052403156,2012
456,95,13.079457226509417,2013
457,95,15.444689785098431,2014
458,95,7.796767210444467,2015
459,95,3.730133149150071,2016
